Bag_Type,Date,Material_Style,Price,Currency
Lindy 30,7/21/19,Matter Gator,332600,HKD
Lindy 34,1/1/19,Clemence,6050,EUR
Lindy 34,1/1/19,Clemence,8250,USD
Lindy 34,2/4/19,Clemence,8700,USD
Lindy 34,3/30/19,Swift,8700,USD
Lindy 34,4/20/19,Clemence,7400,CHF
Evelyne 16,1/3/19,Clemence,1250,EUR
Evelyne 16,1/3/19,Clemence,1250,GBP
Evelyne 16,2/4/19,Clemence,1800,USD
Evelyne 29,1/1/19,Clemence,2300,EUR
Evelyne 29,1/2/19,Clemence,2340,GBP
Evelyne 29,1/2/19,Clemence,2900,CHF
Evelyne 29,1/16/19,Maurice,3375,CAD
Evelyne 29,1/22/19,Clemence,3375,USD
Evelyne 29,1/22/19,Clemence,3775,CAD
Evelyne 29,1/22/19,Maurice,3850,CAD
Evelyne 29,2/2/19,Clemence,2350,EUR
Evelyne 29,2/4/19,Clemence,3375,USD
Evelyne 29,5/23/19,Clemence,3375,USD
Evelyne 33,1/22/19,Clemence,3750,USD
Evelyne 33,1/22/19,Clemence,4200,CAD
Evelyne 33,1/22/19,Maurice,4275,USD
Evelyne 33,2/4/19,Clemence,3825,USD
Evelyne 33,3/25/19,Clemence,2600,EUR
Evelyne 33,3/30/19,Maurice,3825,USD
Evelyne 33,3/30/19,Clemence,3750,USD
Evelyne 40,6/12/19,Clemence,4500,USD
Evelyne 29,1/1/19,Sellier Epsom,3100,EUR
Evelyne 29,1/1/19,Sellier Epsom,3090,GBP
Evelyne 29,1/22/19,Sellier Epsom,5050,CAD
Evelyne 29,1/22/19,Sellier Hunter Cowhide,4825,USD
Evelyne 29,2/4/19,Sellier Hunter,4750,USD
Evelyne 33,1/1/19,Sellier Epsom,3350,EUR
Evelyne 33,1/1/19,Sellier Epsom,3330,GBP
Evelyne 33,1/22/19,Sellier Epsom,5450,CAD
Evelyne 33,1/22/19,Sellier Hunter Cowhide,5350,USD
Evelyne 33,2/4/19,Sellier Hunter,6000,USD
Evelyne 33,6/12/19,Sellier Hunter,6000,USD
